Role,Company,Location,AI infrastructure focus
Founding Product Designer,Inferact,"San Francisco, CA",vLLM inference engine and developer infrastructure
Founding Design Engineer,Capy,"San Francisco, CA",Cloud-native AI software-engineer platform
Fullstack Design Engineer,Blaxel,"San Francisco, CA",Cloud sandbox and compute infrastructure for autonomous agents
Founding Product Designer,Gumloop,"San Francisco, CA",Secure enterprise platform for building and running AI agents
Founding Product Designer,Mastra,Remote,Open-source framework and cloud platform for AI agents
Founding Design Engineer,Credal,"Brooklyn, NY",Control plane for enterprise AI agents
Founding Product Designer,Clera,"San Francisco, CA",Agentic enterprise-integration platform
Founding Design Engineer,Sim,"San Francisco, CA",Workspace for building and managing AI agents
Founding Product Designer,Adapt,"San Francisco, CA","Platform for building, running, and governing company AI agents"
Founding Designer,kapa.ai,Denmark / remote in listed European countries,Platform for building AI assistants on technical content
Founding Designer,Moss,"California, United States",Real-time semantic-search layer for conversational AI
